U, FourierTransform, Magnitude, Power Spectrum
-32.0,0.014375406846824854,0.014375406846824854,2.0665232201173887E-4
-31.0,-0.011922269300793919,0.011922269300793919,1.421405052806531E-4
-30.0,-0.005080177018370278,0.005080177018370278,2.5808198537977533E-5
-29.0,0.01711849393249202,0.01711849393249202,2.930428345167661E-4
-28.0,-0.009313410751551997,0.009313410751551997,8.673961982712433E-5
-27.0,-0.010347945349104005,0.010347945349104005,1.0707997294804321E-4
-26.0,0.018973607539240104,0.018973607539240104,3.5999778305310893E-4
-25.0,-0.005247497074078575,0.005247497074078575,2.7536225542463207E-5
-24.0,-0.01600530544424306,0.01600530544424306,2.5616980236351655E-4
-23.0,0.01960409451410455,0.01960409451410455,3.843205217179441E-4
-22.0,4.023164796684904E-4,4.023164796684904E-4,1.6185854981284686E-7
-21.0,-0.0218219416170389,0.0218219416170389,4.761971359374543E-4
-20.0,0.01862782901198372,0.01862782901198372,3.469960136997024E-4
-19.0,0.007799173123931193,0.007799173123931193,6.0827101417050646E-5
-18.0,-0.027549412595642104,0.027549412595642104,7.589701343649238E-4
-17.0,0.015561255474118348,0.015561255474118348,2.4215267193077825E-4
-16.0,0.01723208378880283,0.01723208378880283,2.9694471170432134E-4
-15.0,-0.03293438746976206,0.03293438746976206,0.00108467387800842
-14.0,0.009675206725281037,0.009675206725281037,9.36096251769234E-5
-13.0,0.029329171172292414,0.029329171172292414,8.602002816536284E-4
-12.0,-0.03773243175027599,0.03773243175027599,0.0014237364057892356
-11.0,-4.0233224047290345E-4,4.0233224047290345E-4,1.6187123172394622E-7
-10.0,0.045647262536381385,0.045647262536381385,0.0020836725770653273
-9.0,-0.04172151370953756,0.04172151370953756,0.0017406847062151308
-8.0,-0.01799395729156658,0.01799395729156658,3.237824990107221E-4
-7.0,0.07075766826391931,0.07075766826391931,0.005006647618146854
-6.0,-0.04471440983336958,0.04471440983336958,0.001999378446746538
-5.0,-0.05440211108893698,0.05440211108893698,0.00295958969093304
-4.0,0.12366978082792272,0.12366978082792272,0.015294214690026443
-3.0,-0.04656924969982098,0.04656924969982098,0.0021686950176042765
-2.0,-0.18920062382698205,0.18920062382698205,0.03579687605651917
-1.0,0.45464871341284085,0.45464871341284085,0.2067054526079515
0.0,1.0,1.0,1.0
1.0,0.45464871341284085,0.45464871341284085,0.2067054526079515
2.0,-0.18920062382698205,0.18920062382698205,0.03579687605651917
3.0,-0.04656924969982098,0.04656924969982098,0.0021686950176042765
4.0,0.12366978082792272,0.12366978082792272,0.015294214690026443
5.0,-0.05440211108893698,0.05440211108893698,0.00295958969093304
6.0,-0.04471440983336958,0.04471440983336958,0.001999378446746538
7.0,0.07075766826391931,0.07075766826391931,0.005006647618146854
8.0,-0.01799395729156658,0.01799395729156658,3.237824990107221E-4
9.0,-0.04172151370953756,0.04172151370953756,0.0017406847062151308
10.0,0.045647262536381385,0.045647262536381385,0.0020836725770653273
11.0,-4.0233224047290345E-4,4.0233224047290345E-4,1.6187123172394622E-7
12.0,-0.03773243175027599,0.03773243175027599,0.0014237364057892356
13.0,0.029329171172292414,0.029329171172292414,8.602002816536284E-4
14.0,0.009675206725281037,0.009675206725281037,9.36096251769234E-5
15.0,-0.03293438746976206,0.03293438746976206,0.00108467387800842
16.0,0.01723208378880283,0.01723208378880283,2.9694471170432134E-4
17.0,0.015561255474118348,0.015561255474118348,2.4215267193077825E-4
18.0,-0.027549412595642104,0.027549412595642104,7.589701343649238E-4
19.0,0.007799173123931193,0.007799173123931193,6.0827101417050646E-5
20.0,0.01862782901198372,0.01862782901198372,3.469960136997024E-4
21.0,-0.0218219416170389,0.0218219416170389,4.761971359374543E-4
22.0,4.023164796684904E-4,4.023164796684904E-4,1.6185854981284686E-7
23.0,0.01960409451410455,0.01960409451410455,3.843205217179441E-4
24.0,-0.01600530544424306,0.01600530544424306,2.5616980236351655E-4
25.0,-0.005247497074078575,0.005247497074078575,2.7536225542463207E-5
26.0,0.018973607539240104,0.018973607539240104,3.5999778305310893E-4
27.0,-0.010347945349104005,0.010347945349104005,1.0707997294804321E-4
28.0,-0.009313410751551997,0.009313410751551997,8.673961982712433E-5
29.0,0.01711849393249202,0.01711849393249202,2.930428345167661E-4
30.0,-0.005080177018370278,0.005080177018370278,2.5808198537977533E-5
31.0,-0.011922269300793919,0.011922269300793919,1.421405052806531E-4
